11	1
53	1
82	1
100	1
193	1
194	1
195	2
199	1
200	2
201	1
202	1
203	1
206	2
208	1
210	1
211	1
216	1
225	10
226	3
227	5
228	5
230	2
231	5
232	1
233	1
235	1
236	4
237	4
238	1
239	3
240	5
241	1
242	5
243	7
244	6
245	2
246	2
285	1
309	1
317	1
327	1
349	1
450	1
451	1
454	3
457	1
460	3
462	1
463	1
481	3
482	3
483	11
484	3
486	4
487	2
488	2
489	1
492	4
493	6
494	2
496	4
498	4
499	9
500	6
501	1
502	3
506	1
507	1
511	1
541	1
589	1
706	1
720	1
726	1
727	1
737	11
738	4
739	7
740	3
741	2
742	7
743	7
744	1
745	3
747	1
748	5
749	7
750	2
751	5
752	4
753	1
754	4
755	5
756	4
757	2
758	1
762	1
783	1
815	1
844	1
873	1
878	1
886	1
962	1
963	1
965	2
966	1
972	1
976	1
978	1
979	1
981	1
993	7
994	2
995	3
996	2
997	3
998	2
999	2
1004	2
1005	1
1006	1
1007	3
1008	3
1010	7
1011	3
1012	4
1013	4
1019	1
1107	2
1127	1
1218	2
1219	2
1224	2
1226	1
1228	1
1231	2
1232	1
1235	1
1249	6
1250	5
1251	6
1252	3
1254	1
1255	3
1256	1
1257	4
1258	1
1260	4
1261	2
1262	1
1263	3
1264	4
1266	5
1267	3
1268	3
1269	1
1270	3
1272	1
1277	1
1329	1
1341	1
1357	1
1375	1
1377	1
1397	1
1473	1
1474	1
1475	1
1476	1
1477	1
1478	1
1480	1
1481	1
1482	1
1483	1
1484	1
1485	1
1486	1
1487	1
1496	1
1505	10
1506	3
1507	3
1508	4
1509	2
1510	3
1511	2
1512	2
1513	2
1514	2
1515	1
1516	2
1517	3
1518	3
1519	4
1520	4
1522	4
1523	4
1524	2
1525	4
1526	2
1530	1
1585	1
1619	1
1731	1
1732	1
1735	1
1739	1
1740	1
1741	1
1743	1
1746	2
1750	1
1752	1
1753	1
1761	6
1762	2
1763	5
1764	2
1765	3
1766	4
1767	4
1768	2
1772	2
1773	4
1775	2
1776	8
1778	3
1779	5
1780	5
1781	1
1782	3
1784	3
1788	1
1791	1
1853	1
1885	1
1985	2
1990	1
1992	1
1995	1
1996	1
1997	2
1998	1
2000	2
2003	1
2004	1
2008	1
2009	1
2017	9
2018	4
2019	5
2020	2
2021	1
2022	5
2023	4
2025	2
2026	1
2028	3
2029	5
2030	4
2031	2
2032	5
2034	5
2035	3
2036	2
2037	1
2038	4
2077	1
2095	1
2101	1
2109	1
2114	1
2119	1
2165	1
2241	1
2242	1
2243	2
2244	1
2247	1
2248	1
2250	1
2253	1
2255	1
2258	1
2260	1
2261	1
2271	1
2273	7
2275	4
2276	3
2278	3
2279	2
2280	1
2282	2
2284	4
2285	5
2286	3
2287	2
2288	4
2290	2
2291	3
2292	3
2293	2
2294	4
2297	2
2298	1
2351	1
